HTML
<p>Friendly People is a comedy. It's my favourite programme. </p>,1,,
*,Friendly People which is my favourite programme is a comedy
<p>My friend Michael often comes to play with me. He hasn't got any brothers and sisters. </p>,1,,
*,"My friend Michael, who hasn't got any brothers and sisters, often comes to play with me"
<p>My sister loves wearing hats. Her hair is brown. </p>,1,,
*,"My sister, whose hair is brown, loves wearing hats"
<p>New York is an enormous city. It's where I was born. </p>,1,,
*,"New York, where I was born is an enormous city"
<p>This CD is scratched. I only bought it yesterday. </p>,1,,
*,This CD which I only bought yesterday is scratched
<p>My brother George has got some great shirts! He hates me borrowing his clothes. </p>,1,,
*,"My brother George, who hates me borrowing his clothes, has got some great shirts!"
<p>Our neighbours have never invited us to dinner. Their house is directly opposite ours. </p>,1,,
*,"Our neighbours, whose house is directly opposite ours, have never invited us to dinner"
