HTML
<p>John is __________ brother. </p>,1,one,
,<p>Laura</p>
*,<p>Laura’s</p>
,<p>Lauras'</p>
<p>These are our _______ suitcases. </p>,1,one,
,<p>guests </p>
*,<p>guests’</p>
,<p>guests'</p>
<p>These are ________ poems. </p>,1,one,
,<p>Pushkin </p>
*,<p>Pushkin’s</p>
,<p>Pushkins'</p>
<p>This is my _________bedroom. </p>,1,one,
,<p>son</p>
,<p>sons'</p>
*,<p>son’s </p>
<p>You ______ not ask Sarah for help if you don’t want to. </p>,1,one,
*,<p>need</p>
,<p>needn't</p>
"<p>We’ve got a dishwasher, so you ______ wash the dishes.</p>",1,one,
*,<p>needn't </p>
,<p>need</p>
<p>She _______ buy bread. We have it.</p>,1,one,
*,<p>needn't </p>
,<p>need</p>
<p>____ we follow these instructions? </p>,1,one,
*,<p>Need</p>
,<p>Needn't</p>
<p> Lara ______________ make lunch. </p>,1,one,
,<p>must</p>
*,<p>has to</p>
,<p>have to</p>
<p>Opera singers ___________ fix cars. </p>,1,one,
,<p>mustn't</p>
*,<p>don't have to </p>
,<p>doesn't have to </p>
<p> My grandpa ___________ work. He’s 75.</p>,1,one,
,<p>don't have to </p>
,<p>mustn't</p>
*,<p>doesn't have to </p>
<p>You _______ clean your room. </p>,1,one,
,<p>has to</p>
,<p>must</p>
*,<p>have to</p>
<p>You _____ drive carefully.</p>,1,one,
*,<p>should</p>
,<p>shouldn't</p>
<p>________ I watch this video?</p>,1,one,
,<p>Shouldn't</p>
*,<p>Should</p>
<p>There are a lot of in the house.</p>,1,one,
,<p>mouse</p>
*,<p>mice</p>
<p>________ play in the garden.</p>,1,one,
*,<p>Children</p>
,<p>Childs</p>
