HTML
"<p><img class=""fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2020-12-09%2Fb100674c-e7f9-4e45-b4d7-252168f40bf9-0EEO1qRRa4.jpg""/>Text</p>"
<p>Russian nesting dolls are more popular with children than adults. </p>,1,one,
,<p>True </p>
,<p>False </p>
*,<p>Not stated </p>
<p>The man who cut and carved the wood also painted them. </p>,1,one,
,<p>True </p>
*,<p>False </p>
,<p>Not stated </p>
<p>Savva Mamontov and his wife were artists. </p>,1,one,
,<p>True </p>
,<p>False </p>
*,<p>Not stated </p>
<p>The dolls became popular around the world before they won a prize. </p>,1,one,
,<p>True </p>
*,<p>False </p>
,<p>Not stated </p>
<p>Sergey and Vasily used a Japanese doll for inspiration. </p>,1,one,
*,<p>True </p>
,<p>False </p>
,<p>Not stated </p>
<p>The doll sets look like famous people are the most popular these days. </p>,1,one,
,<p>True </p>
,<p>False </p>
*,<p>Not stated </p>
<p>Some people incorrectly call them babushka dolls. </p>,1,one,
*,<p>True </p>
,<p>False </p>
,<p>Not stated </p>
<p>Sergey and Vasily also designed furniture together. </p>,1,one,
,<p>True </p>
,<p>False </p>
*,<p>Not stated </p>
